Localidades de Pueblos Indigenas u Originarios - resultado de busqueda,,,,,,,
Nombre,Tipo de localidad de pueblos indigenas,Pueblo indigena,Departamento,Provincia,Distrito,Reconocimiento,Titulacion
Chinim,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 714-97-RENOM/DSRAG-J,R.S.R.S. 728-97-RENOM/DSRAG-J
Chipe Cuzu,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  326-OAE-ORAMS-II-75,R.D. 2613-75-DGRA-AR
Chorros,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Chosica,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Cocha Verde,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Cocoashi,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Cucuasa,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Cusu Pagata,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  243-OAE-ORAMS-II-76,R.D. 4543-76-DGRA-AR
Cuzu Chico,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Cuzumatac,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Dapikat Kajekui,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.D. 081-99-CTAR-A-DR-AG/D,R.D. 153-99-CTAR-A-DR-AG/D
Dapis Bajo,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Datej,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Datem Entsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Dequentei,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.D. 632-99-CTAR-A-DR-AG/D,R.D. 652-99-CTAR-A-DR-AG/D
Dos de mayo,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Duship,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  245-OAE-ORAMS-II-76,R.D. 4542-76-DGRA-AR
Duship,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  303-OAE-ORAMS-II-75,R.D. 2617-75-DGRA-AR
Ebron,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  311-OAE-ORAMS-II-75,R.D. 2626-75-DGRA-AR
El Limon,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
El Paraiso,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Emat,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Epemimu,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Escudero,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Fortaleza,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Rio Santiago,R.S.R.S.  711-97-RENOM/DSRAG-J,R.S.R.S. 003-98-RENOM/DSRAG-J
Gerezo,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Rio Santiago,-,-
Guabal,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Guayabal,Comunidad Nativa,Wampis,Amazonas,Condorcanqui,Rio Santiago,R.  244-OAE-ORAMS-II-75,379-2008-GOB-REG-AMAZONAS/GRDE/DRA/DE
Huampami,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  325-OAE-ORAMS-II-76,R.D. 2641-75-DGRA-AR
Huantsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Huaracayo,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  321-OAE-ORAMS-II-75,R.D. 2623-75-DGRA-AR
Ideal,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Inayuam,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  103-98-RENOM/DSRAG-J,R.S.R.S. 146-98-RENOM/DSRAG-J
Inayua-Marañon,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 024-98-RENOM/DSRAG-J,R.S.R.S. 148-98-RENOM/DSRAG-J
Isla Grande,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Rio Santiago,-,-
Iwanch Ujugmamu,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  078-98-CTAR-CAJ/DSRAG-J,R.S.R.S. 164-98-CTAR-CAJ/DSRAG-J
Japaime Escuela,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  239-OAE-ORAMS-II-75,R.D. 2639-75-DGRA-AR
Japaime Quebrada,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  238-OAE-ORAMS-II-75,R.D. 2635-75-DGRA-AR
Jayais,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Jempe,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Jempets,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Jempets,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Jibaro,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Jose Juum,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Jose Taijim,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Kachi,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  105-98-RENOM/DSRAG-J,R.S.R.S. 145-98-RENOM/DSRAG-J
Kagka,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 716-97-RENOM/DSRAG-J,R.S.R.S. 722-97-RENOM/DSRAG-J
Kagkas,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Rio Santiago,R.S.R.S.  060-96-RENOM/DSRAG-J,R.D. 119-97-AG-DRA
Kamit Entsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Rio Santiago,-,-
Kampaentsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Kashap,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.D. 046-99-CTAR-A-DR-AG/D,R.D. 151-99-CTAR-A-DR-AG/D
Kawit,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  083-98-CTAR-CAJ/DSRAG-J,R.S.R.S. 174-98-CTAR-CAJ/DSRAG-J
Kayakusha,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  175-93-RENOM/DSRAG-J,R.D. 016-94-RENOM-DRA
Kayamas,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Rio Santiago,R.S.R.S.  079-98-CTAR-CAJ/DSRAG-J,R.S.R.S. 168-98-CTAR-CAJ/DSRAG-J
Kayamas,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Kayamas Wee,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.D.  049-99-CTAR-A-DR-AG/D,R.D. 148-99-CTAR-A-DR-AG/D
Kayants,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Kayaukuiniacu,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Kaya Washu,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Kigkis,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Kucha,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Kugkukim,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Rio Santiago,-,-
Kuith,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  318-OAE-ORAMS-II-75,R.D. 2620-75-DGRA-AR
Kuji,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  640-97-RENOM/DSRAG-J,R.S.R.S. 727-97-RENOM/DSRAG-J
Kumpin,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Kunchai,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.D.R. 084-2004-GOBIERNO REGIONAL AMAZONAS/GRDE-DRA/D,R.D.R.S. N?143-2006-GOBIERNO REGIONAL AMAZONA/GRDE/DRA/D
Kunchin,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  249-OAE-ORAMS-II-76,R.D. 4565-76-DGRA-AR
Kunguki,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Kunt Entsa,Comunidad Nativa,Wampis,Amazonas,Condorcanqui,Rio Santiago,R.S.R.S.  381-93-RENOM/DSRAG-J,R.D. 555-95-AG-DRA
Kusu,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Kusu Chapi,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Kusu Chico,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Kusu Chico (o Cusu Chico),Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  232-OAE-ORAMS-II-75,R.D. 2606-75-DGRA-AR
